#version,serial,flight,call,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6,4980,3,KE8QCP,-0.3,3,   boost,-0.53,99521,151.26,1.18,0,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,-0.29,3,   boost,0,99547,149.07,-1.01,0,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,-0.28,3,   boost,0,99534,150.17,0.08,0,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,-0.27,3,   boost,-0.53,99546,149.15,-0.93,0,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,-0.26,3,   boost,0,99547,149.07,-1.01,0,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,-0.25,3,   boost,0,99525,150.93,0.84,0,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,-0.24,3,   boost,0,99526,150.84,0.76,0,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,-0.23,3,   boost,0,99546,149.15,-0.93,0,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,-0.22,3,   boost,-0.53,99539,149.74,-0.34,0,28.9,8.05,8.01,4.21
6,4980,3,KE8QCP,-0.21,3,   boost,0,99529,150.59,0.51,0,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,-0.2,3,   boost,0,99533,150.25,0.17,0,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,-0.19,3,   boost,-0.53,99555,148.39,-1.69,0,28.9,8.05,8.01,4.21
6,4980,3,KE8QCP,-0.18,3,   boost,0,99540,149.66,-0.42,0,28.9,8.05,8.01,4.21
6,4980,3,KE8QCP,-0.17,3,   boost,0,99531,150.42,0.34,0,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,-0.16,3,   boost,0,99554,148.48,-1.6,0,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,-0.15,3,   boost,0,99517,151.6,1.52,0,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,-0.14,3,   boost,-0.53,99536,150,-0.08,0,28.9,8.05,8.01,4.21
6,4980,3,KE8QCP,-0.13,3,   boost,0,99530,150.5,0.42,0,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,-0.12,3,   boost,0,99536,150,-0.08,0,28.9,8.05,8.01,4.21
6,4980,3,KE8QCP,-0.11,3,   boost,0,99502,152.87,2.79,0,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,-0.1,3,   boost,-1.06,99516,151.69,1.6,0.01,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,-0.09,3,   boost,0,99557,148.22,-1.86,0.06,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,-0.08,3,   boost,1.06,99535,150.08,0,0.19,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,-0.07,3,   boost,11.66,99554,148.48,-1.6,0.48,28.9,8.05,8.01,4.21
6,4980,3,KE8QCP,-0.06,3,   boost,66.79,99695,136.58,-13.5,0.96,28.9,8.05,8.01,4.21
6,4980,3,KE8QCP,-0.05,3,   boost,104.96,99602,144.42,-5.66,1.64,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,-0.04,3,   boost,118.21,99544,149.32,-0.76,2.5,28.9,8.05,8.01,4.21
6,4980,3,KE8QCP,-0.03,3,   boost,107.61,99509,152.28,2.2,3.43,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,-0.02,3,   boost,94.36,99553,148.56,-1.52,4.38,28.9,8.05,8.01,4.21
6,4980,3,KE8QCP,-0.01,3,   boost,83.22,99562,147.8,-2.28,5.29,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
6,4980,3,KE8QCP,0,3,   boost,73.15,99579,146.37,-3.72,6.14,28.8,8.05,8.01,4.21
