Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0.00,1.853873E-05,980.60,0,89.06, -,9.373784
0.05,1.853873E-05,980.60,0,89.06, -,9.373784
0.10,5.60569,980.40,5.333333,89.06, -,9.373784
0.15,8.410584,980.30,8,89.06, -,9.373784
0.20,14.01936,980.10,13.33333,89.06, -,9.373784
0.25,19.62734,979.90,18.66667,89.06, -,9.373784
0.30,30.84952,979.50,29.33333,89.06, -,9.373784
0.35,36.46201,979.30,34.66667,89.06, -,9.373784
0.40,44.88161,979.00,42.66667,89.06, -,9.373784
0.45,56.11215,978.60,53.38095,89.06, -,9.373784
0.50,70.15469,978.10,66.7619,89.06, -,9.373784
0.55,78.58266,977.80,74.80952,89.24, -,9.373784
0.60,92.6345,977.30,88.19048,89.24, -,9.373784
0.65,106.6922,976.80,101.5714,89.24, -,9.373784
0.70,123.5684,976.20,117.6667,89.24, -,9.373784
0.75,137.6389,975.70,131.0476,89.24, -,9.373784
0.80,151.7152,975.20,144.4762,89.24, -,9.373784
0.85,171.4322,974.50,163.2381,89.24, -,9.373784
0.90,199.6188,973.50,190.0952,89.24, -,9.373784
0.95,216.5414,972.90,206.1905,89.24, -,9.373784
1.00,230.6505,972.40,219.619,89.24, -,9.373784
1.05,253.2387,971.60,241.1429,89.24, -,9.373784
1.10,275.8403,970.80,262.6667,89.24, -,9.373784
1.15,301.2844,969.90,281.5714,89.24, -,9.373784
1.20,332.4111,968.80,308.5714,89.24, -,9.373784
1.25,352.2336,968.10,322.0952,89.24, -,9.373784
1.30,383.4054,967.00,346.4286,89.24, -,9.373784
1.35,408.9322,966.10,360.0952,89.24, -,9.373784
1.40,437.3172,965.10,381.8095,89.24, -,9.373784
1.45,465.726,964.10,400.8571,89.24, -,9.373784
1.50,497.0026,963.00,419.9524,89.24, -,9.373784
1.55,528.3081,961.90,436.381,89.24, -,9.373784
1.60,559.6443,960.80,458.1905,89.24, -,9.373784
1.65,588.1561,959.80,471.9524,89.24, -,9.373784
1.70,616.692,958.80,485.7619,89.24, -,9.373784
1.75,645.2519,957.80,496.8571,89.24, -,9.373784
1.80,673.8359,956.80,510.7143,89.24, -,9.373784
1.85,702.4443,955.80,524.5238,89.24, -,9.373784
1.90,731.0768,954.80,533.0476,89.24, -,9.373784
1.95,756.8658,953.90,530.7619,89.24, -,9.373784
2.00,785.5445,952.90,542,89.24, -,9.373784
2.05,811.377,952.00,553.1905,89.24, -,9.373784
2.10,840.102,951.00,559.0476,89.24, -,9.373784
2.15,865.9762,950.10,562.1429,89.24, -,9.373784
2.20,894.7479,949.10,565.2857,89.24, -,9.373784
2.25,920.6622,948.20,560.2857,89.24, -,9.373784
2.30,949.4806,947.20,568.8571,89.24, -,9.373784
2.35,975.4388,946.30,563.9048,89.24, -,9.373784
2.40,1004.304,945.30,567.0476,89.24, -,9.373784
2.45,1027.414,944.50,562,89.24, -,9.373784
2.50,1056.323,943.50,562.4762,89.24, -,9.373784
2.55,1082.364,942.60,557.4762,89.42, -,9.393232
2.60,1111.321,941.60,555.2381,89.42, -,9.393232
2.65,1137.402,940.70,550.2381,89.42, -,9.393232
2.70,1163.506,939.80,547.9524,89.42, -,9.393232
2.75,1189.628,938.90,545.619,89.42, -,9.393232
2.80,1218.677,937.90,546.0952,89.42, -,9.393232
2.85,1241.936,937.10,541,89.42, -,9.393232
2.90,1271.031,936.10,541.4762,89.42, -,9.393232
2.95,1294.324,935.30,536.381,89.42, -,9.393232
3.00,1323.464,934.30,539.5714,89.42, -,9.393232
3.05,1346.794,933.50,534.4762,89.42, -,9.393232
3.10,1375.979,932.50,537.6667,89.42, -,9.393232
3.15,1399.346,931.70,532.5238,89.42, -,9.393232
3.20,1425.653,930.80,532.9524,89.42, -,9.393232
3.25,1451.979,929.90,530.6667,89.42, -,9.393232
3.30,1478.328,929.00,531.0952,89.42, -,9.393232
3.35,1498.836,928.30,523.1905,89.42, -,9.393232
3.40,1528.154,927.30,526.381,89.42, -,9.393232
3.45,1548.692,926.60,518.4762,89.42, -,9.393232
3.50,1575.115,925.70,521.619,89.42, -,9.393232
3.55,1601.56,924.80,519.2857,89.42, -,9.393232
3.60,1625.084,924.00,516.8571,89.42, -,9.393232
3.65,1648.624,923.20,511.7143,89.42, -,9.393232
3.70,1675.128,922.30,512.0952,89.42, -,9.393232
3.75,1698.703,921.50,509.7143,89.42, -,9.393232
3.80,1725.246,920.60,510.1429,89.42, -,9.393232
3.85,1748.857,919.80,504.9524,89.42, -,9.393232
3.90,1775.438,918.90,508.1429,89.42, -,9.393232
3.95,1796.128,918.20,500.1429,89.42, -,9.393232
4.00,1825.707,917.20,506.1429,89.42, -,9.393232
4.05,1846.428,916.50,498.0952,89.42, -,9.393232
4.10,1873.089,915.60,501.2381,89.42, -,9.393232
4.15,1896.804,914.80,496,89.42, -,9.393232
4.20,1923.502,913.90,499.1905,89.42, -,9.393232
4.25,1944.284,913.20,493.9524,89.42, -,9.393232
4.30,1971.022,912.30,494.3333,89.42, -,9.393232
4.35,1994.807,911.50,491.9048,89.42, -,9.393232
4.40,2018.608,910.70,495.0476,89.42, -,9.393232
4.45,2042.427,909.90,489.8095,89.42, -,9.393232
4.50,2069.244,909.00,495.7619,89.42, -,9.393232
4.55,2090.116,908.30,490.4762,89.42, -,9.373784
4.60,2116.969,907.40,490.8571,89.42, -,9.373784
4.65,2137.872,906.70,488.381,89.42, -,9.373784
4.70,2161.775,905.90,488.7143,89.42, -,9.373784
4.75,2182.705,905.20,483.4286,89.42, -,9.373784
4.80,2206.641,904.40,483.7619,89.42, -,9.373784
4.85,2227.599,903.70,478.4286,89.42, -,9.373784
4.90,2248.57,903.00,475.9048,89.42, -,9.373784
4.95,2266.555,902.40,467.7143,89.42, -,9.373784
