Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0.00,1.929871E-05,978.20,0,92.3, -,9.179308
0.05,2.810021,978.10,2.666667,92.3, -,9.179308
0.10,2.810021,978.10,2.666667,92.3, -,9.179308
0.15,5.61854,978.00,5.333333,92.3, -,9.179308
0.20,11.23799,977.80,10.66667,92.3, -,9.179308
0.25,14.04721,977.70,13.33333,92.3, -,9.179308
0.30,19.66806,977.50,18.66667,92.3, -,9.179308
0.35,28.10022,977.20,26.71428,92.3, -,9.179308
0.40,33.72339,977.00,32.04762,92.3, -,9.179308
0.45,39.3475,976.80,37.38095,92.3, -,9.179308
0.50,50.5968,976.40,48.09524,92.3, -,9.179308
0.55,67.48032,975.80,64.19048,92.3, -,9.15986
0.60,81.55549,975.30,77.61905,92.3, -,9.15986
0.65,95.6365,974.80,91.04762,92.3, -,9.15986
0.70,109.7234,974.30,104.4762,92.3, -,9.15986
0.75,135.0934,973.40,128.619,92.3, -,9.15986
0.80,152.0191,972.80,144.7619,92.3, -,9.15986
0.85,171.7755,972.10,163.5714,92.3, -,9.15986
0.90,191.5417,971.40,182.381,92.3, -,9.15986
0.95,222.6295,970.30,212,92.3, -,9.15986
1.00,245.2556,969.50,233.5714,92.3, -,9.15986
1.05,270.7291,968.60,257.8095,92.3, -,9.15986
1.10,296.22,967.70,279.4286,92.3, -,9.15986
1.15,321.7319,966.80,303.7143,92.3, -,9.15986
1.20,350.1002,965.80,328.0476,92.3, -,9.15986
1.25,384.174,964.60,355.1429,92.3, -,9.15986
1.30,415.4374,963.50,382.2381,92.3, -,9.15986
1.35,449.5771,962.30,409.4286,92.3, -,9.15986
1.40,478.0528,961.30,428.5238,92.3, -,9.15986
1.45,515.1068,960.00,458.4762,92.3, -,9.15986
1.50,546.4916,958.90,483.0476,92.3, -,9.179308
1.55,586.4796,957.50,510.4286,92.3, -,9.179308
1.60,620.7924,956.30,527,92.3, -,9.179308
1.65,660.8667,954.90,551.7143,92.3, -,9.179308
1.70,698.1236,953.60,573.7619,92.3, -,9.179308
1.75,741.1618,952.10,601.3333,92.3, -,9.179308
1.80,784.2549,950.60,618.2381,92.3, -,9.179308
1.85,827.4032,949.10,643.1905,92.3, -,9.179308
1.90,867.7237,947.70,662.7619,92.3, -,9.179308
1.95,913.8656,946.10,687.9048,92.3, -,9.179308
2.00,957.1801,944.60,699.5238,92.3, -,9.179308
2.05,1006.336,942.90,724.7619,92.3, -,9.179308
2.10,1049.769,941.40,741.9048,92.3, -,9.179308
2.15,1096.161,939.80,761.8095,92.3, -,9.179308
2.20,1142.616,938.20,781.7619,92.3, -,9.179308
2.25,1194.954,936.40,804.619,92.3, -,9.179308
2.30,1244.46,934.70,819.3333,92.3, -,9.179308
2.35,1294.039,933.00,836.8095,92.3, -,9.179308
2.40,1343.691,931.30,851.5714,92.3, -,9.179308
2.45,1396.343,929.50,874.5714,92.3, -,9.179308
2.50,1443.214,927.90,883.9048,92.3, -,9.179308
2.55,1493.088,926.20,901.4762,92.3, -,9.15986
2.60,1528.337,925.00,896.9524,92.3, -,9.15986
2.65,1678.559,919.90,1007.333,92.3, -,9.15986
2.70,1799.817,915.80,1084.667,92.3, -,9.15986
2.75,1802.78,915.70,1052,92.3, -,9.15986
2.80,1823.528,915.00,1030.762,92.3, -,9.15986
2.85,1885.849,912.90,1049.048,92.3, -,9.15986
2.90,1939.362,911.10,1058.905,92.3, -,9.15986
2.95,1998.919,909.10,1077.238,92.3, -,9.15986
3.00,2052.611,907.30,1084.429,92.3, -,9.15986
3.05,2109.379,905.40,1097.238,92.3, -,9.15986
3.10,2163.25,903.60,1101.714,92.3, -,9.15986
3.15,2226.208,901.50,1120.286,92.3, -,9.15986
3.20,2277.262,899.80,1124.714,92.3, -,9.15986
3.25,2334.413,897.90,1134.905,92.3, -,9.15986
3.30,2388.649,896.10,1136.714,92.3, -,9.15986
3.35,2452.033,894.00,1149.952,92.3, -,9.15986
3.40,2509.487,892.10,1157.429,92.3, -,9.15986
3.45,2570.07,890.10,1167.857,92.3, -,9.15986
3.50,2630.764,888.10,1175.524,92.3, -,9.179308
3.55,2694.611,886.00,1191.714,92.3, -,9.179308
3.60,2752.484,884.10,1199.333,92.3, -,9.179308
3.65,2813.512,882.10,1223.905,92.3, -,9.179308
3.70,2868.532,880.30,1133.238,92.3, -,9.179308
3.75,2920.58,878.60,1067.333,92.3, -,9.179308
3.80,2969.64,877.00,1111.238,92.3, -,9.179308
3.85,3027.994,875.10,1147.048,92.3, -,9.179308
3.90,3080.291,873.40,1137.524,92.3, -,9.179308
