Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0.00,1.568418E-05,986.50,0,63.68, -,9.140412
0.05,5.580225,986.30,5.333333,63.68, -,9.140412
0.10,13.95141,986.00,13.28571,63.68, -,9.140412
0.15,11.16135,986.10,10.61905,63.68, -,9.140412
0.20,16.74169,985.90,15.95238,63.68, -,9.140412
0.25,25.11732,985.60,23.95238,63.68, -,9.140412
0.30,33.49332,985.30,31.95238,63.68, -,9.140412
0.35,39.07903,985.10,37.28571,63.68, -,9.140412
0.40,47.45847,984.80,45.28571,63.68, -,9.140412
0.45,61.42936,984.30,58.57143,63.68, -,9.140412
0.50,69.81432,984.00,66.57143,63.68, -,9.140412
0.55,83.79441,983.50,79.90476,63.68, -,9.140412
0.60,94.98331,983.10,90.57143,63.68, -,9.140412
0.65,114.5702,982.40,109.2381,63.68, -,9.140412
0.70,128.5687,981.90,122.5714,63.68, -,9.140412
0.75,142.573,981.40,135.9048,63.68, -,9.140412
0.80,159.3868,980.80,151.9048,63.68, -,9.140412
0.85,184.6206,979.90,175.9524,63.68, -,9.140412
0.90,204.261,979.20,194.6667,63.68, -,9.140412
0.95,223.9128,978.50,213.381,63.68, -,9.140412
1.00,240.7652,977.90,229.4286,63.68, -,9.140412
1.05,266.0613,977.00,253.5238,63.68, -,9.140412
1.10,285.749,976.30,266.9524,63.68, -,9.140412
1.15,313.8934,975.30,285.8095,63.68, -,9.140412
1.20,339.2424,974.40,312.619,63.68, -,9.140412
1.25,367.4314,973.40,334.1429,63.68, -,9.140412
1.30,392.8222,972.50,350.3333,63.68, -,9.140412
1.35,423.8797,971.40,371.9048,63.68, -,9.140412
1.40,454.9674,970.30,396.1905,63.68, -,9.140412
1.45,488.9131,969.10,420.5238,63.68, -,9.140412
1.50,520.0588,968.00,436.9048,63.5, -,9.15986
1.55,559.7419,966.60,466.7143,63.5, -,9.15986
1.60,593.7911,965.40,485.8095,63.5, -,9.15986
1.65,636.4025,963.90,515.7143,63.5, -,9.15986
1.70,673.3773,962.60,532.2381,63.5, -,9.15986
1.75,718.9378,961.00,562.2857,63.5, -,9.15986
1.80,758.855,959.60,586.9524,63.5, -,9.15986
1.85,807.387,957.90,617.1905,63.5, -,9.15986
1.90,847.4088,956.50,631.2381,63.5, -,9.15986
1.95,896.0701,954.80,658.8571,63.5, -,9.15986
2.00,936.1954,953.40,678.381,63.5, -,9.15986
2.05,979.2409,951.90,703.3333,63.5, -,9.15986
2.10,1013.717,950.70,712.0952,63.5, -,9.15986
2.15,1051.106,949.40,728.9524,63.5, -,9.15986
2.20,1077.015,948.50,726.8095,63.5, -,9.15986
2.25,1111.592,947.30,735.619,63.5, -,9.15986
2.30,1137.546,946.40,733.4762,63.5, -,9.15986
2.35,1172.184,945.20,742.2857,63.5, -,9.15986
2.40,1201.077,944.20,740.2381,63.5, -,9.15986
2.45,1235.781,943.00,743.6667,63.5, -,9.15986
2.50,1270.521,941.80,744.4286,63.5, -,9.15986
