Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0.00,-1.485379E-05,977.90,0,90.86, -,9.354337
0.05,8.431067,977.60,8.047619,90.86, -,9.354337
0.10,8.431067,977.60,8.047619,90.86, -,9.354337
0.15,11.24075,977.50,10.71429,90.86, -,9.354337
0.20,16.86253,977.30,16.04762,90.86, -,9.354337
0.25,25.29609,977.00,24.09524,90.86, -,9.354337
0.30,30.92019,976.80,29.42857,90.86, -,9.354337
0.35,36.54523,976.60,34.80952,90.86, -,9.354337
0.40,39.35725,976.50,37.47619,90.86, -,9.354337
0.45,50.61106,976.10,48.19048,90.86, -,9.354337
0.50,61.86689,975.70,58.90476,90.86, -,9.354337
0.55,73.12818,975.30,69.61905,90.86, -,9.354337
0.60,84.39149,974.90,80.33334,90.86, -,9.354337
0.65,104.1134,974.20,99.09524,90.86, -,9.354337
0.70,121.0278,973.60,115.1905,90.86, -,9.354337
0.75,137.949,973.00,131.2857,90.86, -,9.354337
0.80,154.8785,972.40,147.4286,90.86, -,9.354337
0.85,183.1144,971.40,174.3333,90.86, -,9.354337
0.90,202.8939,970.70,193.1905,90.86, -,9.354337
0.95,225.5125,969.90,214.7143,90.86, -,9.354337
1.00,245.3167,969.20,233.5714,90.86, -,9.354337
1.05,273.6281,968.20,260.5238,90.86, -,9.354337
1.10,296.2939,967.40,274.0476,90.86, -,9.354337
1.15,327.4858,966.30,303.7619,90.86, -,9.354337
1.20,353.0258,965.40,325.4286,90.86, -,9.354337
1.25,384.27,964.30,349.8571,90.86, -,9.354337
1.30,415.5414,963.20,371.5714,90.86, -,9.354337
1.35,449.6896,962.00,398.7619,90.86, -,9.354337
1.40,478.1725,961.00,420.5238,90.86, -,9.354337
1.45,515.2359,959.70,453.1429,90.86, -,9.354337
1.50,543.7742,958.70,469.619,90.86, -,9.373784
1.55,580.9096,957.40,494.2857,90.86, -,9.373784
1.60,618.0876,956.10,519,90.86, -,9.373784
1.65,658.1687,954.70,546.4762,90.86, -,9.373784
1.70,695.4301,953.40,563.1905,90.86, -,9.373784
1.75,741.3484,951.80,590.8095,90.86, -,9.373784
1.80,778.7018,950.50,610.2857,90.86, -,9.373784
1.85,821.8537,949.00,635.2381,90.86, -,9.373784
