Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0.00,3.777414E-06,985.70,0,60.8, -,8.965384
0.05,5.58388,985.50,5.333333,60.8, -,8.965384
0.10,5.58388,985.50,5.333333,60.8, -,8.965384
0.15,11.16868,985.30,10.66667,60.8, -,8.965384
0.20,16.75439,985.10,16,60.8, -,8.965384
0.25,19.54674,985.00,18.66667,60.8, -,8.965384
0.30,30.72183,984.60,29.33333,60.8, -,8.965384
0.35,39.10472,984.30,37.33333,60.8, -,8.965384
0.40,47.48967,984.00,45.33333,60.8, -,8.965384
0.45,55.8767,983.70,53.33333,60.8, -,8.965384
0.50,69.86024,983.20,66.66666,60.8, -,8.965384
0.55,81.0519,982.80,77.33334,60.62, -,8.965384
0.60,92.24555,982.40,88,60.62, -,8.965384
0.65,106.2441,981.90,101.3333,60.62, -,8.965384
0.70,125.8521,981.20,120,60.62, -,8.965384
0.75,142.6687,980.60,136,60.62, -,8.965384
0.80,156.688,980.10,149.3333,60.62, -,8.965384
0.85,173.5182,979.50,165.381,60.62, -,8.965384
0.90,201.5882,978.50,192.0952,60.62, -,8.965384
0.95,221.2513,977.80,210.8095,60.62, -,8.965384
1.00,238.1135,977.20,226.8571,60.62, -,8.965384
1.05,260.6101,976.40,248.2857,60.62, -,8.965384
1.10,283.1234,975.60,264.381,60.62, -,8.965384
1.15,308.466,974.70,288.5238,60.62, -,8.965384
1.20,336.6479,973.70,310.0476,60.62, -,8.965384
1.25,362.0324,972.80,328.9048,60.62, -,8.965384
1.30,390.2589,971.80,353.1429,60.62, -,8.965384
1.35,418.5089,970.80,369.381,60.62, -,8.965384
1.40,452.4404,969.60,393.7143,60.62, -,8.965384
1.45,480.7424,968.60,412.6667,60.62, -,8.965384
1.50,517.5699,967.30,439.7619,60.62, -,8.984831
1.55,554.4376,966.00,461.5238,60.62, -,8.984831
1.60,594.1873,964.60,488.7143,60.62, -,8.984831
1.65,631.1385,963.30,513.2381,60.62, -,8.984831
1.70,679.5212,961.60,546,60.62, -,8.984831
1.75,719.4164,960.20,565.3333,60.62, -,8.984831
1.80,765.071,958.60,592.8095,60.62, -,8.984831
1.85,807.9272,957.10,620.2857,60.62, -,8.984831
1.90,856.562,955.40,650.5714,60.62, -,8.984831
1.95,896.6686,954.00,662.0476,60.62, -,8.984831
2.00,936.8229,952.60,681.5714,60.62, -,8.984831
2.05,971.277,951.40,698.3333,60.62, -,8.984831
2.10,1005.768,950.20,709.7619,60.62, -,8.984831
2.15,1037.417,949.10,718.4762,60.62, -,8.984831
2.20,1071.973,947.90,727.2381,60.62, -,8.984831
2.25,1103.684,946.80,730.5714,60.62, -,8.984831
2.30,1141.197,945.50,742.0952,60.62, -,8.984831
2.35,1172.971,944.40,745.4286,60.62, -,8.984831
2.40,1210.564,943.10,754.3333,60.62, -,8.984831
